"id","first_name","last_name","username","email","password","role","is_active","token"
1,"Wilson","Coco","coco","coco@coconuts.com","$2y$10$CGIFGjuCofwJBOVmkbhjhuh1R6zcuiwddR/.Gx0YoXO3t8Dez5S32","user",False,NULL
2,"pepe","Coco","pepe","pepe@pepito.com","$2y$10$dS.1nERI/sX/0NQC/zcLdugO6q4c/FAbCH.bV54G8ohiXBmE.SbMW","user",True,NULL
4,"bebe","bebe","bebe","bebe@bebe.com","$2y$10$ac43Q2FmA0SaW7lNGxns7eU09ZCptPev02CMML5UVqRkquA5U7AUm","user",False,NULL
6,"fiu","fiu","fiu","fiu@fiufiu","$2y$10$LutD8KOkUcaKkXQsooqO9eEgOY0UnbVhX9EgPTrHjoVAXxNJhHCM.","user",False,NULL
7,"tota","tota","tota","tota@tota.com","$2y$10$m2ks5I124m6YkTd4.qI6k.ymmq.E/KCHCnQ7VCA5joLza6U0jIKvG","user",False,NULL
8,"turu","turu","turu","turu@turu.com","$2y$10$NmK69zkD5Y3cIsEwS0ETvOGsPC7WMDF19/JeUyHa/lhxZcQlL2Af6","user",False,NULL
9,"10","10","10","10@10.com","$2y$10$/3qdsxWZiAEfgiOLJ8Ymu.LoBEJ.miYUVtMixVuFbdZ1.ZWOsE.Xa","user",False,NULL
10,"11","11","11","11@11.com","$2y$10$VdWdssabOSIWFv17l/jDEuV6ps9YllAgtGKpnynidtZ4RLmFIpL1.","user",False,NULL
12,"12","12","12","12@12.com","$2y$10$X05imzaRVDe5mfywYeaHtuCXrP.s/lapy6oRw9J7S302fYp4P.UyG","user",False,NULL
14,"13","13","13","13@13.com","$2y$10$ZVucrt/3vkofKohFUq.gpeUSOsysGPxur8N8aNHuaamF/oAwfbHFe","user",False,NULL
15,"14","14","14","14@14.com","$2y$10$GXWGgt1jsYfdsuZIIzW5Ge24iyuPL/K9Vs96k2HK6km926y94MO4m","user",False,NULL
16,"15","15","15","15@15.com","$2y$10$kEy1JnIk17Ity/ztytRbteiYqnFrlM2pq00sldpqRVQU1o5N0hLe6","user",False,NULL
17,"17","17","17","17@17.com","$2y$10$mcvfQjnsnSadu4dC3Q8P3.M/iiYujC.RoRWo3udx.lFIADoKNhX9i","user",False,NULL
18,"18","18","18","18@18.com","$2y$10$OxL3RD161dw9ODvBpYjG4.9qflyDoa9RoCsNvas5OpFaixOb/QcDe","user",False,NULL
19,"20","20","20","20@20","$2y$10$TvolA5gwYl/U9j.JvLTObOp8Iu59zca/M3PF9ZdrlCmXYottAgmvO","user",False,NULL
20,"21","21","21","21@21","$2y$10$2euhC0zcgcp2QMavdCBPvu06a0v4GiDy.IjOjJTiDpBUD7f.KK75C","user",False,NULL
21,"22","22","22","22@22","$2y$10$2BrYuWB0BsMwJo7t2L9wu.67JZfN1OqN7FK6VZtEKy8zwbkEouUAK","user",False,NULL
22,"23","23","23","23@23","$2y$10$5At0OrD506itW/OLNxy1GO0GoXKB3x5TAgiiZ52cfEVs6Q/Bzsc2q","user",False,NULL
23,"24","24","24","24@24","$2y$10$9r9o.Z8sYh8k2xC9X6rRi.pVNrdtL0z9sEUlA4P1CTUa8xN.zZxLm","user",False,NULL
24,"25","25","25","25@25","$2y$10$3ozDtZp/KLrymD4QYDoovuzbQqLvmV6zFvA0SUtnVt3IkWPKN3cjG","user",False,NULL
25,"26","26","26","26@26","$2y$10$ZBc1BQPvCEVZXek0ppxzEexZVGAF53LaMvxIcxLYoHrX4ry3X6rWy","user",False,NULL
26,"30","30","30","30@30","$2y$10$cocGjh6MTUbhXjuaKu9AhOsVJEdAAnFmWA2pPMngiPU8Va1HTt3D.","user",False,NULL
27,"31","31","31","31@31.com","$2y$10$hIvYqH5YdbsU5q671Tv9SOJQtadI9ZP5hPI3aPvj9rZEoQ0EhHn.a","user",False,NULL
28,"fiufiu","fiufiu","fiufiu","fiufiu@fiufiu","$2y$10$uSw58UBou2OBcJg2ymhQV.g/qYli5byxfV6wfsRLc.SPVA0P44w0y","user",False,NULL
29,"teletubi","t","teletubi","teletubi@teletubi.com","$2y$10$TW5SY8wNRkoiBezJTPhWiO2Hg6nWnmeOMTVEfZ/Kw8YDuqn1Cljte","user",False,NULL
